GEO_ID,NAME,DP04_0126E,DP04_0129E,DP04_0130E,DP04_0131E,DP04_0132E,DP04_0133E,DP04_0128E,DP04_0127E,DP04_0134E,DP04_0135E,DP04_0088E,DP04_0083E,DP04_0084E,DP04_0085E,DP04_0086E,DP04_0082E,DP04_0087E,DP04_0081E,DP04_0089E,DP04_0126PE,DP04_0129PE,DP04_0130PE,DP04_0131PE,DP04_0132PE,DP04_0133PE,DP04_0128PE,DP04_0127PE,DP04_0088PE,DP04_0083PE,DP04_0084PE,DP04_0085PE,DP04_0086PE,DP04_0082PE,DP04_0087PE,DP04_0081PE
1400000US19173180300,Census Tract 1803; Taylor County; Iowa,67,0,0,0,0,1,46,20,685,55,11,39,64,70,41,164,50,75,122500,67,0,0,0,0,1.5,68.7,29.9,2.1,7.6,12.5,13.6,8,31.9,9.7,14.6
1400000US19175190100,Census Tract 1901; Union County; Iowa,197,30,13,0,0,0,104,50,691,20,1,168,76,51,34,235,39,106,103000,197,15.2,6.6,0,0,0,52.8,25.4,0.1,23.7,10.7,7.2,4.8,33.1,5.5,14.9
1400000US19175190200,Census Tract 1902; Union County; Iowa,500,80,0,0,0,0,346,74,720,20,0,314,55,108,17,454,12,211,91000,500,16,0,0,0,0,69.2,14.8,0,26.8,4.7,9.2,1.5,38.8,1,18
1400000US19175190300,Census Tract 1903; Union County; Iowa,34,13,0,0,0,0,21,0,833,9,7,124,66,158,96,148,33,49,158900,34,38.2,0,0,0,0,61.8,0,1,18.2,9.7,23.2,14.1,21.7,4.8,7.2
1400000US19175190400,Census Tract 1904; Union County; Iowa,488,42,8,10,0,29,210,189,664,0,0,323,194,150,117,275,0,90,128200,488,8.6,1.6,2,0,5.9,43,38.7,0,28.1,16.9,13.1,10.2,23.9,0,7.8
1400000US19177950100,Census Tract 9501; Van Buren County; Iowa,280,54,0,0,0,0,119,107,621,50,17,192,122,138,117,362,87,226,107800,280,19.3,0,0,0,0,42.5,38.2,1.3,15.2,9.7,10.9,9.3,28.7,6.9,17.9
1400000US19177950200,Census Tract 9502; Van Buren County; Iowa,101,13,0,0,0,0,75,13,742,41,0,161,141,158,85,311,43,210,107700,101,12.9,0,0,0,0,74.3,12.9,0,14.5,12.7,14.2,7.7,28,3.9,18.9
1400000US19179960100,Census Tract 9601; Wapello County; Iowa,180,87,11,0,0,2,66,14,1045,13,34,122,158,216,91,143,4,83,181900,180,48.3,6.1,0,0,1.1,36.7,7.8,4,14.3,18.6,25.4,10.7,16.8,0.5,9.8
1400000US19179960200,Census Tract 9602; Wapello County; Iowa,472,193,13,0,0,0,196,70,952,0,0,32,0,15,0,256,13,121,72400,472,40.9,2.8,0,0,0,41.5,14.8,0,7.3,0,3.4,0,58.6,3,27.7
1400000US19179960300,Census Tract 9603; Wapello County; Iowa,371,153,9,0,0,11,152,46,883,10,0,361,354,235,122,236,2,172,146800,371,41.2,2.4,0,0,3,41,12.4,0,24.4,23.9,15.9,8.2,15.9,0.1,11.6
1400000US19179960400,Census Tract 9604; Wapello County; Iowa,656,251,36,3,8,29,211,118,998,31,0,193,104,131,46,338,0,81,110000,656,38.3,5.5,0.5,1.2,4.4,32.2,18,0,21.6,11.6,14.7,5.2,37.8,0,9.1
1400000US19179960500,Census Tract 9605; Wapello County; Iowa,654,238,0,0,0,0,371,45,831,24,0,57,16,7,14,146,0,100,79100,654,36.4,0,0,0,0,56.7,6.9,0,16.8,4.7,2.1,4.1,42.9,0,29.4
1400000US19179960600,Census Tract 9606; Wapello County; Iowa,580,268,38,0,0,0,222,52,1098,8,0,94,100,46,39,285,19,86,87200,580,46.2,6.6,0,0,0,38.3,9,0,14.1,14.9,6.9,5.8,42.6,2.8,12.9
1400000US19179960700,Census Tract 9607; Wapello County; Iowa,128,81,0,0,0,0,32,15,1295,80,0,176,153,221,162,193,11,84,159700,128,63.3,0,0,0,0,25,11.7,0,17.6,15.3,22.1,16.2,19.3,1.1,8.4
1400000US19179960800,Census Tract 9608; Wapello County; Iowa,325,43,0,9,9,0,243,21,796,28,0,215,165,150,29,516,0,179,88800,325,13.2,0,2.8,2.8,0,74.8,6.5,0,17.1,13.2,12,2.3,41.1,0,14.3
1400000US19179960900,Census Tract 9609; Wapello County; Iowa,572,225,0,0,9,0,295,43,932,5,0,55,17,1,0,421,12,68,72800,572,39.3,0,0,1.6,0,51.6,7.5,0,9.6,3,0.2,0,73.3,2.1,11.8
1400000US19179961000,Census Tract 9610; Wapello County; Iowa,468,116,0,0,0,0,299,53,938,11,0,115,24,51,10,355,16,289,73200,468,24.8,0,0,0,0,63.9,11.3,0,13.4,2.8,5.9,1.2,41.3,1.9,33.6
1400000US19179961100,Census Tract 9611; Wapello County; Iowa,158,4,0,0,0,0,73,81,495,6,25,168,99,226,79,197,104,155,153800,158,2.5,0,0,0,0,46.2,51.3,2.4,16,9.4,21.5,7.5,18.7,9.9,14.7
1400000US19181020101,Census Tract 201.01; Warren County; Iowa,0,0,0,0,0,0,0,0,-,3,0,184,314,102,80,23,58,52,165200,0,-,-,-,-,-,-,-,0,22.6,38.6,12.5,9.8,2.8,7.1,6.4
1400000US19181020201,Census Tract 202.01; Warren County; Iowa,355,0,139,0,0,0,83,133,-,0,12,259,596,378,278,0,130,31,196100,355,0,39.2,0,0,0,23.4,37.5,0.7,15.4,35.4,22.4,16.5,0,7.7,1.8
1400000US19181020202,Census Tract 202.02; Warren County; Iowa,451,147,78,0,0,0,226,0,999,0,9,92,550,598,1100,44,202,31,299500,451,32.6,17.3,0,0,0,50.1,0,0.3,3.5,20.9,22.8,41.9,1.7,7.7,1.2
1400000US19181020300,Census Tract 203; Warren County; Iowa,57,42,4,0,0,0,11,0,1104,11,13,30,15,175,706,11,205,37,384100,57,73.7,7,0,0,0,19.3,0,1.1,2.5,1.3,14.7,59.2,0.9,17.2,3.1
1400000US19181020400,Census Tract 204; Warren County; Iowa,272,34,73,18,0,0,107,40,892,38,0,168,456,335,214,8,75,144,193900,272,12.5,26.8,6.6,0,0,39.3,14.7,0,12,32.6,23.9,15.3,0.6,5.4,10.3
1400000US19181020500,Census Tract 205; Warren County; Iowa,70,16,46,0,0,0,8,0,1620,0,11,87,146,166,180,73,58,113,199500,70,22.9,65.7,0,0,0,11.4,0,1.3,10.4,17.5,19.9,21.6,8.8,7,13.5
1400000US19181020600,Census Tract 206; Warren County; Iowa,117,23,67,0,0,8,13,6,1623,9,26,47,126,341,326,9,190,53,294700,117,19.7,57.3,0,0,6.8,11.1,5.1,2.3,4.2,11.3,30.5,29.2,0.8,17,4.7
1400000US19181020701,Census Tract 207.01; Warren County; Iowa,52,0,4,0,0,0,21,27,497,0,0,27,62,20,0,22,0,5,157600,52,0,7.7,0,0,0,40.4,51.9,0,19.9,45.6,14.7,0,16.2,0,3.7
1400000US19181020702,Census Tract 207.02; Warren County; Iowa,274,137,11,0,0,0,113,13,1033,0,10,104,195,500,226,42,0,29,232200,274,50,4,0,0,0,41.2,4.7,0.9,9.4,17.6,45.2,20.4,3.8,0,2.6
1400000US19181020800,Census Tract 208; Warren County; Iowa,157,114,21,15,7,0,0,0,1216,17,7,247,216,286,157,7,9,24,195800,157,72.6,13.4,9.6,4.5,0,0,0,0.7,25.9,22.7,30,16.5,0.7,0.9,2.5
1400000US19181020900,Census Tract 209; Warren County; Iowa,747,155,0,0,0,0,481,111,851,62,0,62,231,220,81,60,17,78,190500,747,20.7,0,0,0,0,64.4,14.9,0,8.3,30.8,29.4,10.8,8,2.3,10.4
1400000US19181021000,Census Tract 210; Warren County; Iowa,599,145,33,32,0,0,356,33,900,0,0,94,131,205,0,57,7,51,182400,599,24.2,5.5,5.3,0,0,59.4,5.5,0,17.2,24,37.6,0,10.5,1.3,9.4
1400000US19181021100,Census Tract 211; Warren County; Iowa,142,62,20,0,0,0,43,17,1053,9,38,189,213,452,376,182,167,116,230500,142,43.7,14.1,0,0,0,30.3,12,2.2,10.9,12.3,26.1,21.7,10.5,9.6,6.7
1400000US19181021200,Census Tract 212; Warren County; Iowa,186,44,11,16,0,0,104,11,927,22,40,131,201,380,298,42,234,41,265400,186,23.7,5.9,8.6,0,0,55.9,5.9,2.9,9.6,14.7,27.8,21.8,3.1,17.1,3
1400000US19183960101,Census Tract 9601.01; Washington County; Iowa,316,104,0,0,0,0,212,0,883,80,0,97,121,344,268,65,88,89,259800,316,32.9,0,0,0,0,67.1,0,0,9,11.3,32.1,25,6.1,8.2,8.3
1400000US19183960102,Census Tract 9601.02; Washington County; Iowa,259,44,0,0,0,0,166,49,677,26,4,116,165,330,203,41,76,8,236500,259,17,0,0,0,0,64.1,18.9,0.4,12.3,17.5,35,21.5,4.3,8.1,0.8
1400000US19183960200,Census Tract 9602; Washington County; Iowa,413,11,0,0,0,0,391,11,781,21,49,262,209,409,151,218,44,148,173400,413,2.7,0,0,0,0,94.7,2.7,3.3,17.6,14,27.4,10.1,14.6,3,9.9
1400000US19183960300,Census Tract 9603; Washington County; Iowa,533,230,39,0,0,0,229,35,1004,22,0,311,124,94,14,217,11,16,121300,533,43.2,7.3,0,0,0,43,6.6,0,39.5,15.8,11.9,1.8,27.6,1.4,2
1400000US19183960400,Census Tract 9604; Washington County; Iowa,612,110,0,12,14,0,395,81,847,0,0,213,220,249,125,215,31,74,160300,612,18,0,2,2.3,0,64.5,13.2,0,18.9,19.5,22.1,11.1,19.1,2.8,6.6
