GEO_ID,NAME,DP05_0089E,DP05_0091E,DP05_0090E,DP05_0073E,DP05_0078E,DP05_0081E,DP05_0082E,DP05_0080E,DP05_0083E,DP05_0084E,DP05_0085E,DP05_0087E,DP05_0086E,DP05_0079E,DP05_0001E,DP05_0007E,DP05_0008E,DP05_0009E,DP05_0010E,DP05_0011E,DP05_0012E,DP05_0006E,DP05_0013E,DP05_0014E,DP05_0015E,DP05_0016E,DP05_0017E,DP05_0003E,DP05_0002E,DP05_0018E,DP05_0005E,DP05_0089PE,DP05_0091PE,DP05_0090PE,DP05_0073PE,DP05_0078PE,DP05_0081PE,DP05_0082PE,DP05_0080PE,DP05_0083PE,DP05_0084PE,DP05_0085PE,DP05_0087PE,DP05_0086PE,DP05_0079PE,DP05_0001PE,DP05_0007PE,DP05_0008PE,DP05_0009PE,DP05_0010PE,DP05_0011PE,DP05_0012PE,DP05_0006PE,DP05_0013PE,DP05_0014PE,DP05_0015PE,DP05_0016PE,DP05_0003PE,DP05_0002PE,DP05_0005PE
1400000US19013001000,Census Tract 10; Black Hawk County; Iowa,2290,1191,1099,109,3795,0,201,546,0,0,51,32,19,2997,3904,201,340,286,500,485,593,281,185,122,255,165,102,2044,1860,34.1,389,2290,52,48,2.8,97.2,0,5.1,14,0,0,1.3,0.8,0.5,76.8,3904,5.1,8.7,7.3,12.8,12.4,15.2,7.2,4.7,3.1,6.5,4.2,52.4,47.6,10
1400000US19013001100,Census Tract 11; Black Hawk County; Iowa,2111,1133,978,253,2475,15,141,211,0,0,59,59,0,2049,2728,118,248,227,389,439,196,170,143,212,251,134,10,1427,1301,35.6,191,2111,53.7,46.3,9.3,90.7,0.5,5.2,7.7,0,0,2.2,2.2,0,75.1,2728,4.3,9.1,8.3,14.3,16.1,7.2,6.2,5.2,7.8,9.2,4.9,52.3,47.7,7
1400000US19013001200,Census Tract 12; Black Hawk County; Iowa,1700,854,846,29,2250,0,62,60,33,7,56,56,0,2032,2279,112,107,139,297,335,362,115,105,130,275,122,55,1064,1215,42.3,125,1700,50.2,49.8,1.3,98.7,0,2.7,2.6,1.4,0.3,2.5,2.5,0,89.2,2279,4.9,4.7,6.1,13,14.7,15.9,5,4.6,5.7,12.1,5.4,46.7,53.3,5.5
1400000US19013001301,Census Tract 13.01; Black Hawk County; Iowa,2998,1566,1432,248,3866,0,41,675,0,0,141,141,0,3009,4114,136,205,462,429,572,422,327,212,199,477,187,241,1958,2156,38.6,245,2998,52.2,47.8,6,94,0,1,16.4,0,0,3.4,3.4,0,73.1,4114,3.3,5,11.2,10.4,13.9,10.3,7.9,5.2,4.8,11.6,4.5,47.6,52.4,6
1400000US19013001302,Census Tract 13.02; Black Hawk County; Iowa,2615,1456,1159,81,3525,0,105,595,113,0,114,114,0,2598,3606,199,262,307,389,403,417,197,163,278,503,225,74,1927,1679,40.9,189,2615,55.7,44.3,2.2,97.8,0,2.9,16.5,3.1,0,3.2,3.2,0,72,3606,5.5,7.3,8.5,10.8,11.2,11.6,5.5,4.5,7.7,13.9,6.2,53.4,46.6,5.2
1400000US19013001400,Census Tract 14; Black Hawk County; Iowa,3249,1745,1504,124,4479,0,81,829,0,25,129,125,4,3415,4603,323,205,334,499,586,467,318,279,296,487,304,22,2401,2202,36.7,483,3249,53.7,46.3,2.7,97.3,0,1.8,18,0,0.5,2.8,2.7,0.1,74.2,4603,7,4.5,7.3,10.8,12.7,10.1,6.9,6.1,6.4,10.6,6.6,52.2,47.8,10.5
1400000US19013001501,Census Tract 15.01; Black Hawk County; Iowa,2641,1477,1164,190,3141,0,175,216,0,0,90,78,12,2660,3331,182,256,200,653,360,355,148,164,136,341,271,123,1782,1549,36.8,142,2641,55.9,44.1,5.7,94.3,0,5.3,6.5,0,0,2.7,2.3,0.4,79.9,3331,5.5,7.7,6,19.6,10.8,10.7,4.4,4.9,4.1,10.2,8.1,53.5,46.5,4.3
1400000US19013001502,Census Tract 15.02; Black Hawk County; Iowa,3282,1586,1696,107,4260,16,63,710,0,31,124,124,0,3316,4367,256,179,280,694,547,396,373,351,309,419,167,141,2123,2244,38.8,255,3282,48.3,51.7,2.5,97.5,0.4,1.4,16.3,0,0.7,2.8,2.8,0,75.9,4367,5.9,4.1,6.4,15.9,12.5,9.1,8.5,8,7.1,9.6,3.8,48.6,51.4,5.8
1400000US19013001503,Census Tract 15.03; Black Hawk County; Iowa,2991,1473,1518,55,3545,0,91,222,0,0,255,255,0,2977,3600,161,62,236,770,249,347,196,306,291,494,239,59,1704,1896,41.5,190,2991,49.2,50.8,1.5,98.5,0,2.5,6.2,0,0,7.1,7.1,0,82.7,3600,4.5,1.7,6.6,21.4,6.9,9.6,5.4,8.5,8.1,13.7,6.6,47.3,52.7,5.3
1400000US19013001600,Census Tract 16; Black Hawk County; Iowa,1868,927,941,379,2159,8,0,378,1,0,112,69,43,1660,2538,129,128,194,345,339,195,78,142,137,343,157,24,1236,1302,36.5,327,1868,49.6,50.4,14.9,85.1,0.3,0,14.9,0,0,4.4,2.7,1.7,65.4,2538,5.1,5,7.6,13.6,13.4,7.7,3.1,5.6,5.4,13.5,6.2,48.7,51.3,12.9
