GEO_ID,NAME,DP02_0124E,DP02_0059E,DP02_0061E,DP02_0064E,DP02_0065E,DP02_0068E,DP02_0066E,DP02_0062E,DP02_0067E,DP02_0060E,DP02_0063E,DP02_0001E,DP02_0017E,DP02_0016E,DP02_0004E,DP02_0010E,DP02_0015E,DP02_0006E,DP02_0002E,DP02_0081E,DP02_0087E,DP02_0082E,DP02_0084E,DP02_0086E,DP02_0085E,DP02_0083E,DP02_0080E,DP02_0059PE,DP02_0061PE,DP02_0064PE,DP02_0065PE,DP02_0068PE,DP02_0066PE,DP02_0062PE,DP02_0067PE,DP02_0060PE,DP02_0063PE,DP02_0004PE,DP02_0010PE,DP02_0015PE,DP02_0006PE,DP02_0002PE,DP02_0079PE,DP02_0081PE,DP02_0087PE,DP02_0082PE,DP02_0084PE,DP02_0086PE,DP02_0085PE,DP02_0083PE,DP02_0080PE
1400000US19125030201,Census Tract 302.01; Marion County; Iowa,3747,2696,97,245,905,1415,510,591,2549,50,298,1518,2.86,2.42,22,275,552,129,1092,919,48,871,188,67,121,683,2828,2696,3.6,9.1,33.6,52.5,18.9,21.9,94.5,1.9,11.1,1.4,18.1,36.4,8.5,71.9,3747,24.5,1.3,23.2,5,1.8,3.2,18.2,75.5
1400000US19125030202,Census Tract 302.02; Marion County; Iowa,3163,1992,13,270,575,804,229,610,1956,23,272,1344,3.07,2.33,31,381,458,266,666,858,3,855,521,348,173,334,2276,1992,0.7,13.6,28.9,40.4,11.5,30.6,98.2,1.2,13.7,2.3,28.3,34.1,19.8,49.6,3134,27.4,0.1,27.3,16.6,11.1,5.5,10.7,72.6
1400000US19125030300,Census Tract 303; Marion County; Iowa,3212,1431,47,131,399,633,234,387,1321,63,170,883,2.56,2.2,63,243,357,89,488,1294,24,1270,523,245,278,747,1897,1431,3.3,9.2,27.9,44.2,16.4,27,92.3,4.4,11.9,7.1,27.5,40.4,10.1,55.3,3191,40.6,0.8,39.8,16.4,7.7,8.7,23.4,59.4
1400000US19125030401,Census Tract 304.01; Marion County; Iowa,4571,3379,173,324,618,811,193,1172,3201,5,894,1945,2.76,2.29,73,510,682,278,1084,628,0,628,259,73,186,369,3943,3379,5.1,9.6,18.3,24,5.7,34.7,94.7,0.1,26.5,3.8,26.2,35.1,14.3,55.7,4571,13.7,0,13.7,5.7,1.6,4.1,8.1,86.3
1400000US19125030402,Census Tract 304.02; Marion County; Iowa,3994,2842,107,355,572,796,224,908,2645,90,586,1594,2.94,2.45,104,257,552,252,981,343,0,343,85,2,83,258,3638,2842,3.8,12.5,20.1,28,7.9,31.9,93.1,3.2,20.6,6.5,16.1,34.6,15.8,61.5,3981,8.6,0,8.6,2.1,0.1,2.1,6.5,91.4
1400000US19125030500,Census Tract 305; Marion County; Iowa,2398,1365,119,119,116,174,58,736,1238,8,209,1058,2.87,2.23,141,279,261,216,422,432,0,432,133,27,106,299,1928,1365,8.7,8.7,8.5,12.7,4.2,53.9,90.7,0.6,15.3,13.3,26.4,24.7,20.4,39.9,2360,18.3,0,18.3,5.6,1.1,4.5,12.7,81.7
1400000US19125030600,Census Tract 306; Marion County; Iowa,2460,1790,70,259,303,406,103,592,1697,23,440,1029,2.73,2.39,89,175,424,174,591,155,3,152,52,0,52,100,2279,1790,3.9,14.5,16.9,22.7,5.8,33.1,94.8,1.3,24.6,8.6,17,41.2,16.9,57.4,2434,6.4,0.1,6.2,2.1,0,2.1,4.1,93.6
1400000US19125030700,Census Tract 307; Marion County; Iowa,2467,1816,117,269,167,234,67,878,1658,41,277,1075,2.78,2.29,59,198,317,209,609,177,6,171,62,13,49,109,2277,1816,6.4,14.8,9.2,12.9,3.7,48.3,91.3,2.3,15.3,5.5,18.4,29.5,19.4,56.7,2454,7.2,0.2,7,2.5,0.5,2,4.4,92.8
1400000US19127950100,Census Tract 9501; Marshall County; Iowa,2915,2370,29,253,358,436,78,1173,2295,46,433,1295,2.57,2.25,26,113,490,268,888,248,0,248,176,12,164,72,2656,2370,1.2,10.7,15.1,18.4,3.3,49.5,96.8,1.9,18.3,2,8.7,37.8,20.7,68.6,2904,8.5,0,8.5,6.1,0.4,5.6,2.5,91.5
1400000US19127950200,Census Tract 9502; Marshall County; Iowa,2889,1902,103,305,375,551,176,576,1769,30,337,1164,2.98,2.46,106,212,308,205,641,163,8,155,148,21,127,7,2664,1902,5.4,16,19.7,29,9.3,30.3,93,1.6,17.7,9.1,18.2,26.5,17.6,55.1,2827,5.8,0.3,5.5,5.2,0.7,4.5,0.2,94.2
